PROVINCE_NAME,DISTRICT_NAME,LOCATION_ID
Eastern,Ampara,35102
Western,Gampaha,35164
Western,Gampaha,35166
Western,Gampaha,35173
Western,Gampaha,35178
Western,Gampaha,35183
Western,Gampaha,35185
Western,Gampaha,35187
Western,Gampaha,35193
Sabaragamuwa,Kegalle,35203
Sabaragamuwa,Kegalle,35218
Central,Kandy,35237
Central,Kandy,35244
Central,Kandy,35249
Uva,Badulla,35295
Eastern,Ampara,35368
Western,Gampaha,35410
Western,Gampaha,35414
Western,Gampaha,35415
Western,Gampaha,35417
Western,Gampaha,35421
Western,Gampaha,35440
Sabaragamuwa,Kegalle,35455
Central,Kandy,35492
Central,Nuwara Eliya,35515
Western,Gampaha,35665
Western,Gampaha,35675
Western,Gampaha,35683
Western,Gampaha,35686
Sabaragamuwa,Kegalle,35700
Central,Kandy,35745
Central,Kandy,35755
Central,Nuwara Eliya,35769
Western,Gampaha,35916
Western,Gampaha,35917
Western,Gampaha,35918
Western,Gampaha,35919
Western,Gampaha,35921
Western,Gampaha,35929
Western,Gampaha,35931
Western,Gampaha,35941
Western,Gampaha,35944
Sabaragamuwa,Kegalle,35971
Sabaragamuwa,Kegalle,35981
Central,Kandy,35992
Central,Kandy,35994
Uva,Moneragala,36067
Western,Gampaha,36162
Western,Gampaha,36167
Western,Gampaha,36169
Western,Gampaha,36170
Western,Gampaha,36173
Western,Gampaha,36176
Western,Gampaha,36177
Sabaragamuwa,Kegalle,36205
Sabaragamuwa,Kegalle,36237
Central,Kandy,36245
Central,Kandy,36246
Uva,Badulla,36293
Uva,Moneragala,36311
Western,Gampaha,36417
Western,Gampaha,36420
Western,Gampaha,36421
Western,Gampaha,36441
Western,Gampaha,36448
Central,Kandy,36494
Central,Kandy,36498
Central,Kandy,36502
Central,Kandy,36510
Central,Kandy,36513
Central,Nuwara Eliya,36519
Central,Nuwara Eliya,36524
Uva,Moneragala,36576
Western,Gampaha,36668
Western,Gampaha,36673
Western,Gampaha,36675
Western,Gampaha,36677
Western,Gampaha,36679
Western,Gampaha,36682
Western,Gampaha,36688
Western,Gampaha,36690
Sabaragamuwa,Kegalle,36711
Sabaragamuwa,Kegalle,36717
Central,Kandy,36758
Eastern,Ampara,36889
Western,Gampaha,36915
Western,Gampaha,36918
Western,Gampaha,36933
Western,Gampaha,36934
Western,Gampaha,36953
Sabaragamuwa,Kegalle,36959
Central,Kandy,36996
Central,Kandy,36999
Central,Kandy,37001
Western,Gampaha,37167
Western,Gampaha,37168
Western,Gampaha,37169
Western,Gampaha,37172
Western,Gampaha,37176
Western,Gampaha,37178
Western,Gampaha,37179
Western,Gampaha,37182
Western,Gampaha,37192
Western,Gampaha,37200
Western,Gampaha,37206
Sabaragamuwa,Kegalle,37232
Sabaragamuwa,Kegalle,37239
Central,Kandy,37270
Uva,Badulla,37298
Uva,Badulla,37304
Western,Gampaha,37419
Western,Gampaha,37421
Western,Gampaha,37423
Western,Gampaha,37425
Western,Gampaha,37446
Western,Gampaha,37454
Sabaragamuwa,Kegalle,37477
Sabaragamuwa,Kegalle,37487
Central,Kandy,37501
Central,Kandy,37503
Central,Kandy,37513
Central,Nuwara Eliya,37523
Uva,Badulla,37562
Uva,Moneragala,37609
Eastern,Ampara,37642
Eastern,Ampara,37643
Western,Gampaha,37670
Western,Gampaha,37671
Western,Gampaha,37672
Western,Gampaha,37676
Western,Gampaha,37688
Western,Gampaha,37689
Western,Gampaha,37690
Western,Gampaha,37695
Western,Gampaha,37701
Sabaragamuwa,Kegalle,37710
Sabaragamuwa,Kegalle,37711
Central,Kandy,37754
Eastern,Ampara,37874
Eastern,Ampara,37891
Eastern,Ampara,37893
Eastern,Ampara,37894
Western,Gampaha,37926
Western,Gampaha,37928
Western,Gampaha,37929
Western,Gampaha,37932
Western,Gampaha,37936
Western,Gampaha,37943
Western,Gampaha,37952
Sabaragamuwa,Kegalle,37962
Sabaragamuwa,Kegalle,37968
Central,Kandy,38003
Uva,Badulla,38060
Eastern,Ampara,38145
Western,Gampaha,38172
Western,Gampaha,38173
Western,Gampaha,38178
Western,Gampaha,38200
Western,Gampaha,38204
Western,Gampaha,38209
Sabaragamuwa,Kegalle,38215
Sabaragamuwa,Kegalle,38220
Sabaragamuwa,Kegalle,38225
Sabaragamuwa,Kegalle,38228
Sabaragamuwa,Kegalle,38230
Sabaragamuwa,Kegalle,38243
Central,Kandy,38247
Central,Kandy,38255
Central,Kandy,38263
Central,Kandy,38268
Central,Kandy,38272
Eastern,Ampara,38367
Eastern,Ampara,38381
Western,Gampaha,38423
Western,Gampaha,38425
Western,Gampaha,38426
Western,Gampaha,38431
Western,Gampaha,38440
Sabaragamuwa,Kegalle,38479
Sabaragamuwa,Kegalle,38481
Sabaragamuwa,Kegalle,38483
Sabaragamuwa,Kegalle,38488
Sabaragamuwa,Kegalle,38490
Central,Kandy,38498
Central,Kandy,38499
Central,Kandy,38500
Central,Kandy,38505
Central,Kandy,38506
Central,Kandy,38508
Central,Kandy,38517
Central,Kandy,38534
Eastern,Ampara,38648
Western,Gampaha,38674
Western,Gampaha,38676
Western,Gampaha,38679
Western,Gampaha,38684
Western,Gampaha,38693
Western,Gampaha,38697
Sabaragamuwa,Kegalle,38716
Sabaragamuwa,Kegalle,38722
Sabaragamuwa,Kegalle,38736
Sabaragamuwa,Kegalle,38738
Central,Kandy,38752
Central,Kandy,38753
Central,Kandy,38758
Central,Kandy,38760
Central,Kandy,38761
Central,Kandy,38762
